Berlin;2;Tente;Promener les chiens, Donner des cours d anglais;Non fumeur, Pas d animaux;Wifi;Pas de transfert;Demi-pension;2022-11-08;2022-11-30
Avignon;6;Tente;Donner des cours d anglais;Non fumeur;Parking, Wifi, Blanchissage;Transfert possible;Pension compl�te;2022-10-28;2022-10-29
Avignon;2;Chambre;Jardinage, Promener les chiens;;Blanchissage, Wifi, Piscine;Pas de transfert;Demi-pension;2022-08-19;2022-08-20
Seville;5;Cabane dans un arbre;Promener les chiens, Bricolage;;Parking;Transfert possible;Pension compl�te;2022-08-27;2022-08-28
Paris;3;Chambre;Babysitting, Donner des cours d anglais;Pas d animaux, Non fumeur;Balade � cheval, Parking;Transfert possible;Pension compl�te;2022-01-06;2022-01-18
Avignon;2;Cabane dans un arbre;Babysitting;Non fumeur, Pas d animaux;Parking, Piscine;Pas de transfert;Petit d�jeuner;2022-04-20;2022-04-25
Toulouse;3;Chambre;Babysitting, Bricolage;Pas d animaux;Blanchissage;Transfert possible;Demi-pension;2022-04-26;2022-04-27
Chartres;4;Chambre;Promener les chiens, Donner des cours d anglais;Non fumeur;Balade � cheval, Parking, Wifi;Transfert possible;Pension compl�te;2022-07-22;2022-07-23
Berlin;2;Tente;Bricolage, Babysitting;Pas d animaux, Non fumeur;Piscine, Parking;Pas de transfert;Petit d�jeuner;2022-05-15;2022-05-16
Chartres;6;Tente;Promener les chiens;Pas d animaux, Non fumeur;Parking, Balade � cheval, Wifi;Pas de transfert;Demi-pension;2022-03-28;2022-03-29
Marseille;4;Cabane dans un arbre;Jardinage, Babysitting;;Blanchissage, Piscine, Parking;Transfert possible;Demi-pension;2022-04-06;2022-04-21
Avignon;2;Tente;Bricolage;Non fumeur;Balade � cheval, Piscine;Transfert possible;Demi-pension;2022-11-22;2022-11-24
Seville;2;Tente;Babysitting, Donner des cours d anglais;Pas d animaux;Wifi;Pas de transfert;Demi-pension;2022-10-02;2022-10-22
Seville;6;Cabane dans un arbre;Promener les chiens;Pas d animaux;Balade � cheval, Parking, Blanchissage;Transfert possible;Pension compl�te;2022-04-07;2022-04-28
Toulouse;4;Cabane dans un arbre;Promener les chiens, Donner des cours d anglais;Non fumeur;Parking, Wifi, Blanchissage;Transfert possible;Petit d�jeuner;2022-12-27;2022-12-28
Toulouse;3;Cabane dans un arbre;Babysitting, Jardinage;Non fumeur;Wifi, Piscine;Transfert possible;Demi-pension;2022-04-13;2022-04-14
Moscou;6;Chambre;Babysitting;;Balade � cheval, Piscine;Pas de transfert;Petit d�jeuner;2022-01-23;2022-01-24
Moscou;5;Chambre;Promener les chiens;Non fumeur, Pas d animaux;Piscine, Blanchissage, Balade � cheval;Transfert possible;Petit d�jeuner;2022-11-30;2022-12-31
Moscou;5;Cabane dans un arbre;Promener les chiens;Non fumeur;Parking, Wifi, Blanchissage;Pas de transfert;Petit d�jeuner;2022-04-09;2022-04-10
Paris;2;Chambre;Promener les chiens, Babysitting;Non fumeur;Balade � cheval;Transfert possible;Pension compl�te;2022-11-04;2022-11-30
Toulouse;6;Cabane dans un arbre;Jardinage, Promener les chiens;Pas d animaux, Non fumeur;Wifi, Balade � cheval;Pas de transfert;Petit d�jeuner;2022-04-25;2022-04-26
Moscou;2;Tente;Babysitting, Jardinage;Pas d animaux, Non fumeur;Parking, Wifi, Balade � cheval;Transfert possible;Demi-pension;2022-11-06;2022-11-08
Moscou;2;Cabane dans un arbre;Babysitting, Promener les chiens;Pas d animaux, Non fumeur;Parking, Wifi, Blanchissage;Transfert possible;Demi-pension;2022-11-02;2022-11-19
Chartres;2;Chambre;Bricolage, Donner des cours d anglais;Non fumeur, Pas d animaux;Wifi;Transfert possible;Demi-pension;2022-06-21;2022-06-22
Marseille;3;Tente;Babysitting, Donner des cours d anglais;Pas d animaux;Blanchissage, Balade � cheval;Pas de transfert;Petit d�jeuner;2022-05-17;2022-05-18
Marseille;4;Chambre;Babysitting;Pas d animaux;Blanchissage;Pas de transfert;Demi-pension;2022-11-24;2022-11-25
Berlin;5;Tente;Donner des cours d anglais, Bricolage;Pas d animaux, Non fumeur;Piscine, Parking, Balade � cheval;Pas de transfert;Pension compl�te;2022-04-22;2022-04-23
Marseille;2;Cabane dans un arbre;Babysitting, Jardinage;;Blanchissage, Piscine;Transfert possible;Petit d�jeuner;2022-12-12;2022-12-13
Draguignan;3;Tente;Babysitting;Non fumeur;Parking, Piscine, Wifi;Transfert possible;Petit d�jeuner;2022-06-19;2022-06-20
Seville;3;Tente;Bricolage;;Blanchissage, Parking;Pas de transfert;Pension compl�te;2022-11-09;2022-11-22
Draguignan;2;Tente;Jardinage;;Parking, Balade � cheval;Pas de transfert;Demi-pension;2022-12-25;2022-12-26
Moscou;2;Cabane dans un arbre;Bricolage;Non fumeur;Wifi, Balade � cheval;Pas de transfert;Demi-pension;2022-06-11;2022-06-27
Strasbourg;4;Chambre;Promener les chiens, Jardinage;Pas d animaux;Piscine, Blanchissage;Transfert possible;Demi-pension;2022-10-08;2022-10-09
Toulouse;5;Chambre;Babysitting, Bricolage;;Blanchissage, Piscine, Parking;Transfert possible;Demi-pension;2022-02-03;2022-02-04
Berlin;2;Tente;Bricolage, Babysitting;Pas d animaux;Wifi, Balade � cheval;Pas de transfert;Demi-pension;2022-09-19;2022-09-20
Seville;6;Tente;Babysitting, Donner des cours d anglais;Pas d animaux;Blanchissage, Piscine, Wifi;Pas de transfert;Demi-pension;2022-04-02;2022-04-26
Chartres;5;Tente;Babysitting;Pas d animaux, Non fumeur;Piscine, Parking;Transfert possible;Demi-pension;2022-06-19;2022-06-20
Chartres;3;Chambre;Donner des cours d anglais, Promener les chiens;Non fumeur, Pas d animaux;Parking;Pas de transfert;Demi-pension;2022-07-11;2022-07-13
Moscou;6;Tente;Babysitting;Non fumeur, Pas d animaux;Piscine, Blanchissage;Transfert possible;Demi-pension;2022-12-29;2022-12-30
Seville;3;Cabane dans un arbre;Bricolage;Non fumeur, Pas d animaux;Blanchissage, Balade � cheval;Pas de transfert;Pension compl�te;2022-04-14;2022-04-22
Marseille;5;Cabane dans un arbre;Promener les chiens;Pas d animaux, Non fumeur;Piscine;Pas de transfert;Petit d�jeuner;2022-02-27;2022-02-28
Moscou;4;Tente;Donner des cours d anglais;Non fumeur, Pas d animaux;Wifi;Transfert possible;Petit d�jeuner;2022-09-03;2022-09-16
Paris;6;Chambre;Donner des cours d anglais, Bricolage;;Balade � cheval;Pas de transfert;Petit d�jeuner;2022-04-08;2022-04-28
Paris;5;Tente;Babysitting, Jardinage;Pas d animaux, Non fumeur;Piscine, Blanchissage;Transfert possible;Demi-pension;2022-04-14;2022-04-18
Berlin;3;Tente;Babysitting, Donner des cours d anglais;Non fumeur, Pas d animaux;Parking, Balade � cheval;Pas de transfert;Demi-pension;2022-06-10;2022-06-21
Avignon;4;Chambre;Babysitting, Donner des cours d anglais;;Balade � cheval, Wifi, Parking;Transfert possible;Pension compl�te;2022-04-10;2022-04-11
Draguignan;6;Cabane dans un arbre;Babysitting;;Wifi;Transfert possible;Demi-pension;2022-04-23;2022-04-30
Avignon;2;Chambre;Donner des cours d anglais;Non fumeur;Balade � cheval;Pas de transfert;Pension compl�te;2022-05-12;2022-05-25
Marseille;4;Tente;Promener les chiens;;Parking, Blanchissage;Pas de transfert;Demi-pension;2022-11-27;2022-11-28
Seville;3;Chambre;Promener les chiens;Pas d animaux, Non fumeur;Blanchissage, Wifi;Transfert possible;Pension compl�te;2022-12-31;2022-12-31
Toulouse;4;Cabane dans un arbre;Jardinage;Pas d animaux;Wifi, Blanchissage;Pas de transfert;Petit d�jeuner;2022-06-12;2022-06-13
Seville;6;Cabane dans un arbre;Bricolage;Pas d animaux, Non fumeur;Parking, Balade � cheval, Wifi;Transfert possible;Pension compl�te;2022-04-26;2022-04-27
