Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Strasbourg; 4; Cabane dans un arbre; Jardinage; ; Blanchissage, Wifi, Parking; Pas de transfert; Petit déjeuner; 19/5/2022; 29/5/2022; -99; 57; 2; 1
Toulouse; 6; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux; Parking, Wifi; Pas de transfert; Pension complète; 2/9/2022; 7/9/2022; -99; 68; 2; 2
Seville; 4; Cabane dans un arbre; Promener les chiens; ; Piscine; Transfert possible; Petit déjeuner; 17/10/2024; 23/10/2024; -99; 13; 3; 3
Paris; 5; Chambre; Donner des cours d anglais; Pas d animaux; Wifi, Piscine, Blanchissage; Pas de transfert; Petit déjeuner; 15/5/2023; 29/5/2023; -99; 61; 3; 4
Toulouse; 3; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Wifi; Transfert possible; Pension complète; 12/9/2024; 25/9/2024; -99; 87; 1; 5
Seville; 2; Tente; Donner des cours d anglais, Jardinage; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Pension complète; 13/12/2023; 31/12/2023; -99; 31; 3; 6
Strasbourg; 5; Tente; Donner des cours d anglais; Non fumeur; Wifi; Pas de transfert; Demi-pension; 30/6/2024; 31/7/2024; -99; 68; 3; 7
Marseille; 2; Chambre; Donner des cours d anglais; Non fumeur, Pas d animaux; Parking, Piscine, Wifi; Transfert possible; Demi-pension; 3/3/2023; 21/3/2023; -99; 54; 2; 8
Toulouse; 2; Cabane dans un arbre; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Parking, Piscine; Pas de transfert; Demi-pension; 22/10/2024; 25/10/2024; -99; 10; 3; 9
Avignon; 3; Chambre; Donner des cours d anglais; ; Wifi; Pas de transfert; Pension complète; 5/11/2022; 26/11/2022; -99; 75; 2; 10
Draguignan; 4; Tente; Bricolage, Babysitting; Non fumeur; Piscine, Blanchissage; Pas de transfert; Petit déjeuner; 9/9/2022; 10/9/2022; -99; 96; 1; 11
